Date,Team,Notes,Player,Injury Class
2011-01-02,Knicks,shin injury (DTD),Timofey Mozgov,DTD
2011-01-02,Raptors,sprained left ankle (DNP),Jerryd Bayless,DNP
2011-01-02,Raptors,back spasms (DNP),Sonny Weems,DNP
2011-01-03,76ers,strained back (DNP),Spencer Hawes,DNP
2011-01-03,Knicks,sprained left knee (out indefinitely),Danilo Gallinari,out indefinitely
2011-01-03,Pistons,groin injury (DTD),Chris Wilcox,DTD
2011-01-03,Warriors,returned to lineup,Brandan Wright,returned to lineup
2011-01-04,Bucks,plantar fasciitis in left foot (DNP),Drew Gooden,DNP
2011-01-04,Grizzlies,bronchitis (DNP),Ovinton Mayo,DNP
2011-01-04,Grizzlies,sore right knee (DNP),Xavier Henry,DNP
2011-01-04,Mavericks,surgery on right knee to repair torn patella tendon (out for season),Caron Butler,out for season
2011-01-05,76ers,rotator cuff injury (DTD),Tony Battie,DTD
2011-01-05,Bobcats,surgery to repair ruptured right Achilles tendon (out for season),DeSagana Diop,out for season
2011-01-05,Bobcats,hyperextended left knee (DNP),Stephen Jackson,DNP
2011-01-05,Bucks,surgery on left foot (out indefinitely),Brandon Jennings,out indefinitely
2011-01-05,Bucks,plantar fasciitis in left foot (DNP),Drew Gooden,DNP
2011-01-05,Jazz,bruised right hip (DNP),Paul Millsap,DNP
2011-01-06,Cavaliers,sprained left ankle (DTD),Daniel Gibson,DTD
2011-01-06,Suns,torn ACL and partially torn MCL in right knee (out for season),Gani Lawal,out for season
2011-01-07,Bucks,recovering from surgery on left foot (DNP),Brandon Jennings,DNP
2011-01-07,Bucks,plantar fasciitis in left foot (DNP),Drew Gooden,DNP
2011-01-07,Cavaliers,torn tendon in right ankle (out for season),Anderson Varejao,out for season
2011-01-07,Cavaliers,strained lower back (DNP),Anthony Parker,DNP
2011-01-07,Raptors,sprained left ankle (DNP),Jerryd Bayless,DNP
2011-01-07,Rockets,surgery on left ankle to repair stress fracture (out for season),Yao Ming,out for season
2011-01-07,Raptors,back spasms (DNP),Sonny Weems,DNP
2011-01-08,Bucks,virus (DNP),Andrew Bogut,DNP
2011-01-08,Bucks,recovering from surgery on left foot (DNP),Brandon Jennings,DNP
2011-01-08,Bucks,plantar fasciitis in left foot (DNP),Drew Gooden,DNP
2011-01-08,Lakers,torn cartilage in right knee (out indefinitely),Matt Barnes,out indefinitely
2011-01-08,Nets,bruised right quadriceps (DNP),Devin Harris,DNP
2011-01-09,Cavaliers,strained lower back (DNP),Anthony Parker,DNP
2011-01-09,Nuggets,strained left knee (DNP),Ty Lawson,DNP
2011-01-09,Raptors,back spasms (DNP),Sonny Weems,DNP
2011-01-10,Rockets,sore right knee (DNP),Brad Miller,DNP
2011-01-11,Cavaliers,torn tendon in right ankle (DNP),Anderson Varejao,DNP
2011-01-11,Cavaliers,strained lower back (DNP),Anthony Parker,DNP
2011-01-11,Knicks,flu-like symptoms (DNP),Anthony Randolph,DNP
2011-01-11,Lakers,surgery on right knee to repair torn lateral meniscus (out indefinitely),Matt Barnes,out indefinitely
2011-01-12,Bucks,recovering from surgery on left foot (DNP),Brandon Jennings,DNP
2011-01-12,Celtics,sore left knee (DNP),Jermaine O'Neal,DNP
2011-01-12,Grizzlies,sore left knee (DNP),Tony Allen,DNP
2011-01-12,Nets,strained right hamstring (DNP),Anthony Morrow,DNP
2011-01-12,Rockets,sore right knee (DNP),Brad Miller,DNP
2011-01-12,Warriors,Achilles tendon injury (DTD),Reggie Williams,DTD
2011-01-13,Heat,sprained left ankle (DNP),LeBron James,DNP
2011-01-13,Wizards,sprained right shoulder (DNP),Andray Blatche,DNP
2011-01-14,Bucks,recovering from surgery on left foot (DNP),Brandon Jennings,DNP
2011-01-14,Cavaliers,sprained right ankle (DNP),Christian Eyenga,DNP
2011-01-14,Cavaliers,sprained left ankle (DNP),Daniel Gibson,DNP
2011-01-14,Celtics,sore left knee (DNP),Jermaine O'Neal,DNP
2011-01-14,Celtics,strained right leg (DNP),Kevin Garnett,DNP
2011-01-14,Knicks,right hip pointer (DTD),Ronny Turiaf,DTD
2011-01-14,Raptors,strained right hamstring (DTD),Leandro Barbosa,DTD
2011-01-14,Spurs,sore right knee (DTD),Matt Bonner,DTD
2011-01-14,Warriors,strained lower back (DTD),Brandan Wright,DTD
2011-01-14,Cavaliers,strained right quadriceps (DNP),Joey Graham,DNP
2011-01-15,Cavaliers,sprained left ankle (DNP),Christian Eyenga,DNP
2011-01-15,Cavaliers,sprained right ankle (DNP),Daniel Gibson,DNP
2011-01-15,Cavaliers,strained right quadriceps (DNP),Joey Graham,DNP
2011-01-15,Grizzlies,sore left knee (DNP),Tony Allen,DNP
2011-01-15,Nets,strained right hamstring (DNP),Anthony Morrow,DNP
