Date,Team,Notes,Player,Injury Class
2012-03-19,Hawks,appendectomy (out indefinitely),Jannero Pargo,out indefinitely
2012-03-20,Clippers,returned to lineup,Ryan Gomes,returned to lineup
2012-03-20,Heat,sprained left ankle (DNP),Joel Anthony,DNP
2012-03-20,Rockets,strained right shoulder (DNP),Kevin Martin,DNP
2012-03-21,Blazers,surgery on left shoulder (out for season) (date approximate),Elliot Williams,out for season
2012-03-21,Bulls,strained groin (DNP),Derrick Rose,DNP
2012-03-21,Cavaliers,sprained left ankle (DNP) (F P),Daniel Gibson,DNP
2012-03-21,Clippers,DNP,Caron Butler,Other
2012-03-21,Hawks,DNP,Marvin Williams,Other
2012-03-21,Hawks,sore back (DNP),Vladimir Radmanovic,DNP
2012-03-21,Hornets,sprained MCL in left knee (DNP) (F),Carl Landry,DNP
2012-03-21,Hornets,sore left knee (DNP),Emeka Okafor,DNP
2012-03-21,Mavericks,sore left knee (DNP),Shawn Marion,DNP
2012-03-21,Nets,sore right groin (DNP),Jordan Farmar,DNP
2012-03-21,Pistons,ankle injury (DTD),Charlie Villanueva,DTD
2012-03-21,Pistons,toe injury (DTD),Rodney Stuckey,DTD
2012-03-21,Timberwolves,surgery on left knee to repair torn ACL,Ricky Rubio,Other
2012-03-21,Warriors,strained right groin (DNP),Andris Biedrins,DNP
2012-03-21,Warriors,sprained right ankle (DNP) (P),Stephen Curry,DNP
2012-03-21,Wizards,conditioning (DNP),Andray Blatche,DNP
2012-03-22,Hornets,sprained MCL in left knee (DNP) (F),Carl Landry,DNP
2012-03-22,Hornets,sore left knee (DNP),Emeka Okafor,DNP
2012-03-22,Jazz,strained left / right (CBC) adductor (DNP) (F),Raja Bell,DNP
2012-03-22,Rockets,strained right shoulder (DNP),Kevin Martin,DNP
2012-03-22,Warriors,sprained right ankle (DNP) (P),Stephen Curry,DNP
2012-03-22,Wizards,conditioning (DNP),Andray Blatche,DNP
2012-03-23,Bobcats,strained right hamstring (P) / knee injury (CBC) (DNP),DeSagana Diop,DNP
2012-03-23,Hawks,sore back (DNP),Vladimir Radmanovic,DNP
2012-03-23,Hawks,sore right Achilles tendon (DNP),Zaur Pachulia,DNP
2012-03-23,Jazz,strained left / right (CBC) adductor (DNP) (F),Raja Bell,DNP
2012-03-23,Mavericks,sprained right knee (DNP),Brendan Haywood,DNP
2012-03-23,Pistons,sore left big toe (DNP),Rodney Stuckey,DNP
2012-03-23,Raptors,left hip pointer (DTD),Jerryd Bayless,DTD
2012-03-23,Spurs,sore left hamstring (DNP),William Parker,DNP
2012-03-23,Spurs,back spasms (DNP),Tiago Splitter,DNP
2012-03-23,Timberwolves,sprained left big toe (DNP),Michael Beasley,DNP
2012-03-24,Bobcats,strained right hamstring (F P) (DNP),DeSagana Diop,DNP
2012-03-24,Bulls,strained groin (DNP),Derrick Rose,DNP
2012-03-24,Bulls,right shoulder injury (DNP) (F),Richard Hamilton,DNP
2012-03-24,Clippers,sprained left big toe (DNP),Maurice Williams,DNP
2012-03-24,Hawks,rest (DNP),Tracy McGrady,DNP
2012-03-24,Hornets,illness (DNP),Chris Kaman,DNP
2012-03-24,Hornets,sore left knee (DNP),Emeka Okafor,DNP
2012-03-24,Hornets,sore right ankle (DNP),Trevor Ariza,DNP
2012-03-24,Mavericks,sprained right knee (DNP),Brendan Haywood,DNP
2012-03-24,Nets,flu (DNP),DeShawn Stevenson,DNP
2012-03-24,Pistons,sore left big toe (DNP),Rodney Stuckey,DNP
2012-03-24,Pistons,virus (DNP),Will Bynum,DNP
2012-03-24,Raptors,sore left ankle (DNP),DeMar DeRozan,DNP
2012-03-24,Raptors,left hip pointer (DTD),Jerryd Bayless,DTD
2012-03-24,Rockets,strained right shoulder (DNP),Kevin Martin,DNP
2012-03-24,Spurs,sore hip (DNP) (P),Emanuel Ginobili,DNP
2012-03-24,Spurs,sprained left foot (DNP),Gary Neal,DNP
2012-03-24,Spurs,back spasms (DNP) (P),Tiago Splitter,DNP
2012-03-24,Warriors,strained right groin (DNP),Andris Biedrins,DNP
2012-03-24,Warriors,sprained right ankle (DNP) (F),Stephen Curry,DNP
2012-03-25,76ers,patella tendinitis in left knee (DNP),Andre Iguodala,DNP
2012-03-25,Cavaliers,sprained left ankle (DNP) (F P),Daniel Gibson,DNP
2012-03-25,Hawks,back injury (DNP),Vladimir Radmanovic,DNP
2012-03-25,Jazz,strained left adductor (DNP) (F),Raja Bell,DNP
2012-03-25,Spurs,sprained left foot (DNP),Gary Neal,DNP
2012-03-25,Spurs,back spasms (DNP) (P),Tiago Splitter,DNP
2012-03-25,Spurs,rest (DNP),Tim Duncan,DNP
2012-03-25,Timberwolves,bruised right thigh (DNP),Jose Barea,DNP
2012-03-25,Warriors,strained right groin (DNP),Andris Biedrins,DNP
2012-03-25,Warriors,sprained right ankle (DNP) (F),Stephen Curry,DNP
2012-03-25,Wizards,back spasms (DNP),Nene,DNP
2012-03-25,Celtics,sore right ankle (DNP),Ray Allen,DNP
2012-03-26,Bobcats,strained right hamstring (P) (DNP),DeSagana Diop,DNP
2012-03-26,Bulls,strained groin (DNP),Derrick Rose,DNP
2012-03-26,Bulls,right shoulder injury (DNP) (F),Richard Hamilton,DNP
2012-03-26,Celtics,sore right ankle (DNP),Ray Allen,DNP
2012-03-26,Hornets,illness (DNP),Chris Kaman,DNP
2012-03-26,Knicks,sore left (CBC) / right knee (P) (DNP),Jeremy Lin,DNP
2012-03-26,Nets,bruised right shoulder (DNP),Anthony Morrow,DNP
2012-03-26,Nets,sore right groin (DNP),Jordan Farmar,DNP
2012-03-26,Nuggets,fractured left thumb (DNP),Danilo Gallinari,DNP
2012-03-26,Raptors,sore left (CBC) / right ankle (DNP),DeMar DeRozan,DNP
2012-03-26,Rockets,strained right shoulder (DNP),Kevin Martin,DNP
2012-03-26,Wizards,right knee tendinitis (DNP),Trevor Booker,DNP
2012-03-27,76ers,patella tendinitis in left knee (DNP),Andre Iguodala,DNP
2012-03-27,Bucks,right groin injury (DNP),Carlos Delfino,DNP
2012-03-27,Bucks,back spasms (DNP),Ersan Ilyasova,DNP
2012-03-27,Cavaliers,sprained left ankle (DNP) (F P),Daniel Gibson,DNP
2012-03-27,Lakers,sprained right knee (DNP),Jordan Hill,DNP
2012-03-27,Mavericks,sprained right knee (DNP),Brendan Haywood,DNP
2012-03-27,Raptors,partially torn left oblique muscle (out for season),Jerryd Bayless,out for season
2012-03-27,Rockets,strained right shoulder (DNP),Kevin Martin,DNP
2012-03-27,Suns,right knee inflammation (DNP),Grant Hill,DNP
2012-03-27,Timberwolves,bruised right thigh (DNP),Jose Barea,DNP
2012-03-27,Warriors,strained right groin (DNP),Andris Biedrins,DNP
2012-03-28,Bobcats,elbow injury (DNP),Tyrus Thomas,DNP
2012-03-28,Bulls,strained groin (DNP),Derrick Rose,DNP
2012-03-28,Bulls,right shoulder injury (DNP) (F),Richard Hamilton,DNP
2012-03-28,Cavaliers,torn tendon in left ankle (DNP),Daniel Gibson,DNP
2012-03-28,Celtics,sore right ankle (DNP),Ray Allen,DNP
2012-03-28,Hawks,sore back (DNP),Vladimir Radmanovic,DNP
2012-03-28,Hornets,illness (DNP),Chris Kaman,DNP
2012-03-28,Hornets,sore left knee (DNP),Emeka Okafor,DNP
2012-03-28,Hornets,sore right ankle (DNP),Trevor Ariza,DNP
2012-03-28,Knicks,sore right knee (P) (DNP),Jeremy Lin,DNP
2012-03-28,Nets,bruised right shoulder (DNP),Anthony Morrow,DNP
2012-03-28,Nets,sore right groin (DNP),Jordan Farmar,DNP
2012-03-28,Pistons,groin injury (DTD),Ben Gordon,DTD
2012-03-28,Raptors,upper respiratory infection (DNP),James Johnson,DNP
2012-03-28,Suns,right knee inflammation (DNP),Grant Hill,DNP
2012-03-28,Suns,flu (DNP),Markieff Morris,DNP
2012-03-28,Timberwolves,bruised right quadricep (DNP),Jose Barea,DNP
2012-03-28,Timberwolves,sprained left big toe (DNP),Michael Beasley,DNP
2012-03-28,Warriors,strained right groin (DNP),Andris Biedrins,DNP
2012-03-29,Blazers,ear infection (DNP),Nolan Smith,DNP
2012-03-29,Hornets,illness (DNP),Chris Kaman,DNP
2012-03-29,Hornets,sore left knee (DNP),Emeka Okafor,DNP
2012-03-29,Hornets,sore right ankle (DNP),Jarrett Jack,DNP
2012-03-29,Hornets,sore right ankle (DNP),Trevor Ariza,DNP
2012-03-29,Nuggets,surgery on lower back (out for season),Rudy Fernandez,out for season
2012-03-30,Blazers,sprained left elbow (DNP),LaMarcus Aldridge,DNP
2012-03-30,Bulls,strained groin (DNP),Derrick Rose,DNP
2012-03-30,Cavaliers,torn tendon in left ankle (DNP),Daniel Gibson,DNP
2012-03-30,Celtics,arthroscopic surgery on left wrist (out for season),Jermaine O'Neal,out for season
2012-03-30,Celtics,sore right ankle (DNP),Ray Allen,DNP
2012-03-30,Hawks,illness (DNP),Tracy McGrady,DNP
2012-03-30,Hawks,sore back (DNP),Vladimir Radmanovic,DNP
2012-03-30,Jazz,surgery on left knee (DNP) (F),Josh Howard,DNP
2012-03-30,Kings,back spasms (DNP),Tyreke Evans,DNP
2012-03-30,Knicks,sore right knee (DNP),Jared Jeffries,DNP
2012-03-30,Knicks,sore left knee (P) (DNP),Jeremy Lin,DNP
2012-03-30,Nets,sore right groin (DNP),Jordan Farmar,DNP
2012-03-30,Nets,concussion (DNP),Jordan Williams,DNP
2012-03-30,Nets,right eye injury (DNP),Shelden Williams,DNP
2012-03-30,Pistons,sore left hamstring (DNP),Rodney Stuckey,DNP
2012-03-30,Rockets,strained right shoulder (DNP),Kevin Martin,DNP
2012-03-30,Suns,surgery on right knee to repair torn meniscus,Grant Hill,Other
2012-03-30,Timberwolves,bruised right quadricep (DNP),Jose Barea,DNP
2012-03-30,Timberwolves,strained left big toe (DNP),Michael Beasley,DNP
2012-03-30,Warriors,strained right groin (DNP),Andris Biedrins,DNP
2012-03-31,Cavaliers,sprained right shoulder (DNP),Kyrie Irving,DNP
2012-03-31,Grizzlies,sprained left ankle (DNP),Dante Cunningham,DNP
2012-03-31,Grizzlies,sore right ankle (DNP),Mike Conley,DNP
2012-03-31,Hawks,illness (DNP),Tracy McGrady,DNP
2012-03-31,Hawks,back injury (DNP),Vladimir Radmanovic,DNP
2012-03-31,Hornets,sprained right ankle (DNP),Carl Landry,DNP
2012-03-31,Hornets,illness (DNP),Chris Kaman,DNP
2012-03-31,Hornets,sore left knee (DNP),Emeka Okafor,DNP
2012-03-31,Hornets,sore right ankle (DNP),Trevor Ariza,DNP
2012-03-31,Jazz,surgery on left knee (DNP) (F),Josh Howard,DNP
2012-03-31,Knicks,sore left knee (P) (DNP),Jeremy Lin,DNP
2012-03-31,Nets,sore right groin (DNP),Jordan Farmar,DNP
2012-03-31,Nets,right eye injury (DNP),Shelden Williams,DNP
2012-03-31,Pistons,sore groin (DNP),Ben Gordon,DNP
2012-03-31,Pistons,sore left hamstring (DNP),Rodney Stuckey,DNP
2012-04-01,Blazers,sprained right knee (DNP),Joel Przybilla,DNP
2012-04-01,Bulls,strained groin (DNP),Derrick Rose,DNP
2012-04-01,Celtics,sore right ankle (DNP),Ray Allen,DNP
2012-04-01,Hornets,sprained right ankle (DNP),Carl Landry,DNP
2012-04-01,Hornets,sore left knee (DNP) (P),Emeka Okafor,DNP
2012-04-01,Hornets,sore right ankle (DNP) (P),Trevor Ariza,DNP
2012-04-01,Nuggets,strained left groin (DTD),Wilson Chandler,DTD
2012-04-01,Rockets,strained right shoulder (DNP),Kevin Martin,DNP
2012-04-01,Rockets,bacterial infection (DNP) (F),Kyle Lowry,DNP
2012-04-01,Timberwolves,strained right hamstring (DNP),Darko Milicic,DNP
2012-04-01,Timberwolves,bruised right quadricep (DNP),Jose Barea,DNP
2012-04-01,Wizards,plantar fasciitis in left foot (DNP),Nene,DNP
2012-04-01,Wizards,plantar fasciitis in left foot (DNP),Trevor Booker,DNP
2012-04-01,Timberwolves,bone spurs in right ankle (DNP),Nikola Pekovic,DNP
2012-04-02,Blazers,right knee injury (DNP),Jamal Crawford,DNP
2012-04-02,Bucks,left hand injury (DNP),Beno Udrih,DNP
2012-04-02,Bulls,strained groin (DNP),Derrick Rose,DNP
2012-04-02,Cavaliers,surgery on left foot and ankle to repair torn tendon,Daniel Gibson,Other
2012-04-02,Grizzlies,sprained left ankle (DNP),Dante Cunningham,DNP
2012-04-02,Grizzlies,sore right ankle (DNP),Mike Conley,DNP
2012-04-02,Jazz,surgery on left knee (DNP) (F),Josh Howard,DNP
2012-04-02,Knicks,surgery on left knee to repair torn meniscus (out for season),Jeremy Lin,out for season
2012-04-02,Mavericks,illness (DNP),Lamar Odom,DNP
2012-04-02,Rockets,strained right shoulder (DNP),Kevin Martin,DNP
2012-04-02,Rockets,bacterial/sinus infection (DNP) (F),Kyle Lowry,DNP
2012-04-02,Timberwolves,strained right hamstring (DNP),Darko Milicic,DNP
2012-04-02,Timberwolves,bruised right quadricep (DNP),Jose Barea,DNP
2012-04-02,Wizards,plantar fasciitis in left foot (DNP),Nene,DNP
2012-04-02,Wizards,plantar fasciitis in left foot (DNP),Trevor Booker,DNP
2012-04-03,Cavaliers,recovering from surgery on left foot and ankle to repair torn tendon (DNP),Daniel Gibson,DNP
2012-04-03,Kings,calf injury (DTD),Marcus Thornton,DTD
2012-04-03,Knicks,sore left elbow (DNP),Bill Walker,DNP
2012-04-03,Knicks,recovering from surgery on left knee to repair torn meniscus (DNP),Jeremy Lin,DNP
2012-04-03,Lakers,sprained left ankle (DNP),Andrew Bynum,DNP
2012-04-03,Nets,sore right groin (DNP),Jordan Farmar,DNP
2012-04-03,Nets,right eye injury (DNP),Shelden Williams,DNP
2012-04-03,Raptors,sore left knee (DTD),Gary Forbes,DTD
2012-04-03,Magic,back spasms (DNP),Dwight Howard,DNP
2012-04-04,Bucks,sore back (DNP),Drew Gooden,DNP
2012-04-04,Cavaliers,sprained right shoulder (DNP),Kyrie Irving,DNP
2012-04-04,Hornets,concussion (DNP),Chris Johnson,DNP
2012-04-04,Hornets,sore right ankle (P) / right foot injury (CBC) (DNP),Jarrett Jack,DNP
2012-04-04,Jazz,sprained left ankle (DNP),Devin Harris,DNP
2012-04-04,Nets,stomach virus (DNP),Deron Williams,DNP
2012-04-04,Nets,sore right groin (DNP),Jordan Farmar,DNP
2012-04-04,Nets,right eye injury (DNP),Shelden Williams,DNP
2012-04-04,Nuggets,strained left groin (DNP),Wilson Chandler,DNP
2012-04-04,Raptors,sore left knee (DNP),Gary Forbes,DNP
2012-04-04,Suns,recovering from surgery on right knee to repair torn meniscus (DNP),Grant Hill,DNP
2012-04-04,Timberwolves,strained right hamstring (DNP),Darko Milicic,DNP
2012-04-04,Wizards,plantar fasciitis in left foot (DNP),Nene,DNP
2012-04-04,Wizards,plantar fasciitis in left foot (DNP),Trevor Booker,DNP
2012-04-04,Timberwolves,sprained left big toe (DNP),Michael Beasley,DNP
2012-04-05,Wizards,plantar fasciitis in left foot (DNP),Nene,DNP
2012-04-05,Wizards,plantar fasciitis in left foot (DNP),Trevor Booker,DNP
2012-04-06,Bobcats,left knee tendinitis (DNP),Darryl Augustine,DNP
2012-04-06,Bobcats,left knee injury (DTD),Reggie Williams,DTD
2012-04-06,Bucks,sore back (DNP),Drew Gooden,DNP
2012-04-06,Bucks,sore right knee (DNP),Luc Moute,DNP
2012-04-06,Cavaliers,sternum injury (DTD),Anthony Parker,DTD
2012-04-06,Cavaliers,recovering from surgery on left foot and ankle to repair torn tendon (DNP),Daniel Gibson,DNP
2012-04-06,Cavaliers,sprained right shoulder (DNP),Kyrie Irving,DNP
2012-04-06,Grizzlies,mouth injury (DNP),Tony Allen,DNP
2012-04-06,Hornets,concussion (DNP),Chris Johnson,DNP
2012-04-06,Hornets,sprained right foot (DNP),Jarrett Jack,DNP
2012-04-06,Magic,surgery to repair facial fracture (out for season),Hidayet Turkoglu,out for season
2012-04-06,Nets,sore right groin (DNP),Jordan Farmar,DNP
2012-04-06,Nuggets,strained left groin (DNP),Wilson Chandler,DNP
2012-04-06,Raptors,facial injury (DNP),Jose Calderon,DNP
2012-04-06,Rockets,strained right shoulder (DNP),Kevin Martin,DNP
2012-04-06,Suns,recovering from surgery on right knee to repair torn meniscus (DNP),Grant Hill,DNP
2012-04-06,Wizards,plantar fasciitis in left foot (DNP),Nene,DNP
2012-04-06,Wizards,plantar fasciitis in left foot (DNP),Trevor Booker,DNP
2012-04-07,Bobcats,right knee tendinitis (DNP),Darryl Augustine,DNP
2012-04-07,Bobcats,sore left knee (DNP),Reggie Williams,DNP
2012-04-07,Grizzlies,mouth injury (DNP),Tony Allen,DNP
2012-04-07,Hornets,concussion (DNP),Chris Johnson,DNP
2012-04-07,Hornets,sore right foot (DNP),Jarrett Jack,DNP
2012-04-07,Kings,food poisoning (DNP),Chuck Hayes,DNP
2012-04-07,Lakers,bruised left shin (DNP),Kobe Bryant,DNP
2012-04-07,Magic,recovering from surgery to repair facial fracture (DNP),Hidayet Turkoglu,DNP
2012-04-07,Suns,recovering from surgery on right knee to repair torn meniscus (DNP),Grant Hill,DNP
2012-04-07,Timberwolves,strained right hamstring (DNP),Darko Milicic,DNP
2012-04-08,Cavaliers,sprained right shoulder (DNP),Kyrie Irving,DNP
2012-04-08,Kings,concussion (DNP),Francisco Garcia,DNP
2012-04-08,Nets,sore right groin (DNP),Jordan Farmar,DNP
2012-04-08,Rockets,strained right shoulder (DNP),Kevin Martin,DNP
2012-04-08,Spurs,DNP,DeJuan Blair,Other
2012-04-08,Spurs,DNP,Stephen Jackson,Other
2012-04-09,Blazers,left quadricep injury (DNP),Nicolas Batum,DNP
2012-04-09,Bobcats,right knee tendinitis (DNP),Darryl Augustine,DNP
2012-04-09,Bobcats,sore left knee (DNP),Reggie Williams,DNP
2012-04-09,Grizzlies,mouth injury (DNP),Tony Allen,DNP
2012-04-09,Hornets,concussion (DNP),Chris Johnson,DNP
2012-04-09,Hornets,tightness in lower back (DNP),Eric Gordon,DNP
2012-04-09,Hornets,stress fracture in right foot (DNP),Jarrett Jack,DNP
2012-04-09,Jazz,strained left calf (P) / surgery on right knee (CBC) (DNP),Calvin Miles,DNP
2012-04-09,Jazz,torn medial meniscus (P) / strained left calf (CBC) (DNP),Earl Watson,DNP
2012-04-09,Lakers,sore left shin (DNP),Kobe Bryant,DNP
2012-04-09,Pacers,sore groin (DNP),Darren Collison,DNP
2012-04-09,Rockets,strained right shoulder (DNP),Kevin Martin,DNP
2012-04-09,Spurs,rest (DNP),William Parker,DNP
2012-04-09,Spurs,rest (DNP) (P),Emanuel Ginobili,DNP
2012-04-09,Spurs,rest (DNP),Tim Duncan,DNP
2012-04-09,Suns,recovering from surgery on right knee to repair torn meniscus (DNP),Grant Hill,DNP
2012-04-09,Timberwolves,strained right hamstring (DNP),Darko Milicic,DNP
2012-04-09,Wizards,plantar fasciitis in left foot (DNP),Nene,DNP
2012-04-09,Wizards,plantar fasciitis in left foot (DNP),Trevor Booker,DNP
2012-04-10,Bobcats,sore left knee (DNP),Reggie Williams,DNP
2012-04-10,Cavaliers,sprained right shoulder (DNP),Kyrie Irving,DNP
2012-04-10,Cavaliers,returned to lineup,Anthony Parker,returned to lineup
2012-04-10,Kings,concussion (DNP),Francisco Garcia,DNP
2012-04-10,Kings,returned to lineup,Marcus Thornton,returned to lineup
2012-04-10,Nets,strained left hamstring (DNP),Gerald Wallace,DNP
2012-04-10,Nets,sore right groin (DNP),Jordan Farmar,DNP
2012-04-10,Wizards,plantar fasciitis in left foot (DNP),Nene,DNP
2012-04-10,Wizards,plantar fasciitis in left foot (DNP),Trevor Booker,DNP
2012-04-11,Blazers,right hip injury (DNP),LaMarcus Aldridge,DNP
2012-04-11,Cavaliers,sprained right shoulder (DNP),Kyrie Irving,DNP
2012-04-11,Grizzlies,mouth injury (DNP),Tony Allen,DNP
2012-04-11,Hornets,tightness in lower back (DNP),Eric Gordon,DNP
2012-04-11,Hornets,stress fracture in right foot (DNP),Jarrett Jack,DNP
2012-04-11,Jazz,strained gastrocnemius (DNP),Calvin Miles,DNP
2012-04-11,Jazz,sprained right ankle (DNP),Jeremy Evans,DNP
2012-04-11,Kings,concussion (DNP),Francisco Garcia,DNP
2012-04-11,Lakers,left shin injury (DNP),Kobe Bryant,DNP
2012-04-11,Rockets,strained right shoulder (DNP),Kevin Martin,DNP
2012-04-11,Spurs,gastroenteritis (DNP),Gary Neal,DNP
2012-04-11,Suns,recovering from surgery on right knee to repair torn meniscus (DNP),Grant Hill,DNP
2012-04-11,Timberwolves,back spasms (DNP),Wayne Ellington,DNP
2012-04-12,Blazers,surgery on right hip to repair torn labrum (out for season) (date approximate),LaMarcus Aldridge,out for season
2012-04-12,Bobcats,strained right Achilles tendon (DNP),Corey Maggette,DNP
2012-04-12,Bobcats,bruised right knee (DNP),Tyrus Thomas,DNP
2012-04-12,Grizzlies,mouth injury (DNP),Tony Allen,DNP
2012-04-12,Timberwolves,strained right hamstring (DNP),Darko Milicic,DNP
2012-04-12,Timberwolves,concussion (DNP),Kevin Love,DNP
2012-04-12,Timberwolves,back spasms (DNP),Wayne Ellington,DNP
2012-04-13,Blazers,right hip injury (DNP),LaMarcus Aldridge,DNP
2012-04-13,Bobcats,sore right Achilles tendon (DNP),Corey Maggette,DNP
2012-04-13,Bobcats,sore left Achilles tendon (DNP),DeSagana Diop,DNP
2012-04-13,Bobcats,bruised right knee (DNP),Tyrus Thomas,DNP
2012-04-13,Bucks,DNP,Luc Moute,Other
2012-04-13,Cavaliers,recovering from surgery on left foot and ankle to repair torn tendon (DNP),Daniel Gibson,DNP
2012-04-13,Cavaliers,sprained right shoulder (DNP),Kyrie Irving,DNP
2012-04-13,Cavaliers,sprained right ankle (DNP),Semih Erden,DNP
2012-04-13,Heat,sore right ankle (DNP),Dwyane Wade,DNP
2012-04-13,Heat,ankle injury (DNP),Mike Miller,DNP
2012-04-13,Hornets,stress fracture in right foot (DNP),Jarrett Jack,DNP
2012-04-13,Jazz,strained gastrocnemius (DNP),Calvin Miles,DNP
2012-04-13,Jazz,knee injury (DNP),Earl Watson,DNP
2012-04-13,Jazz,sprained right ankle (DNP),Jeremy Evans,DNP
2012-04-13,Kings,sprained right ankle (DTD),Hassan Whiteside,DTD
2012-04-13,Lakers,left shin injury (DNP),Kobe Bryant,DNP
2012-04-13,Magic,foot injury (DTD),Chris Duhon,DTD
2012-04-13,Nets,strained left hamstring (DNP),Gerald Wallace,DNP
2012-04-13,Nets,sore right groin (DNP),Jordan Farmar,DNP
2012-04-13,Raptors,facial injury (DNP),Jose Calderon,DNP
2012-04-13,Rockets,strained right shoulder (DNP),Kevin Martin,DNP
2012-04-13,Thunder,sore right knee (DNP),James Harden,DNP
2012-04-13,Wizards,plantar fasciitis in left foot (DNP),Nene,DNP
2012-04-13,Wizards,plantar fasciitis in left foot (DNP),Trevor Booker,DNP
2012-04-14,Cavaliers,rest (DNP),Antawn Jamison,DNP
2012-04-14,Cavaliers,sprained right shoulder (DNP),Kyrie Irving,DNP
2012-04-14,Jazz,strained gastrocnemius (DNP),Calvin Miles,DNP
2012-04-14,Jazz,knee injury (DNP),Earl Watson,DNP
2012-04-14,Jazz,sprained right ankle (DNP),Jeremy Evans,DNP
2012-04-14,Nets,strained left hamstring (DNP),Gerald Wallace,DNP
2012-04-14,Nets,sore right groin (DNP),Jordan Farmar,DNP
2012-04-14,Timberwolves,strained right hamstring (DNP),Darko Milicic,DNP
2012-04-14,Timberwolves,concussion (DNP),Kevin Love,DNP
2012-04-14,Warriors,strained groin (DNP),David Lee,DNP
2012-04-14,Warriors,right knee injury (DNP),Richard Jefferson,DNP
2012-04-14,Wizards,plantar fasciitis in left foot (DNP),Nene,DNP
2012-04-14,Wizards,plantar fasciitis in left foot (DNP),Trevor Booker,DNP
2012-04-15,Blazers,right hip injury (DNP),LaMarcus Aldridge,DNP
2012-04-15,Cavaliers,sprained right shoulder (DNP),Kyrie Irving,DNP
