season,player,salary
2005-2006,Zydrunas Ilgauskas,8743238
2005-2006,Kelvin Cato,8640000
2005-2006,Samuel Dalembert,8477178
2005-2006,Tony Parker,8400000
2005-2006,Jerry Stackhouse,8367187
2005-2006,Jamaal Magloire,8333334
2005-2006,Tyson Chandler,8299670
2005-2006,Mehmet Okur,8250000
2005-2006,Kenny Thomas,8183769
2005-2006,Richard Hamilton,8125000
2005-2006,Andre Miller,8100000
2005-2006,Bobby Simmons,8000000
2005-2006,Bonzi Wells,8000000
2005-2006,P.J. Brown,8000000
2005-2006,Austin Croshere,7900000
2005-2006,Lorenzen Wright,7700000
2005-2006,Erick Dampier,7662500
2005-2006,Jason Williams,7562500
2005-2006,Peja Stojakovic,7525000
2005-2006,Doug Christie,7500000
2005-2006,Kwame Brown,7500000
2005-2006,Ben Wallace,7500000
2005-2006,Manu Ginobili,7428937
2005-2006,Eddy Curry,7394663
2005-2006,Troy Murphy,7365079
2005-2006,Adonal Foyle,7312500
2005-2006,Darius Miles,7250000
2005-2006,Cuttino Mobley,7241379
2005-2006,Desmond Mason,7233333
2005-2006,Jonathan Bender,7175000
2005-2006,Kurt Thomas,7085919
2005-2006,Corey Maggette,7000000
2005-2006,Malik Rose,6979147
2005-2006,Al Harrington,6975500
2005-2006,Stephen Jackson,5610000
2005-2006,Yao Ming,5594906
2005-2006,Mark Blount,5515875
2005-2006,Nazr Mohammed,5500000
2005-2006,Jason Collins,5500000
2005-2006,Eric Snow,5484375
2005-2006,Jamaal Tinsley,5400000
2005-2006,Hedo Turkoglu,5393300
2005-2006,Derek Fisher,5393300
2005-2006,Marquis Daniels,5393300
2005-2006,Etan Thomas,5393300
2005-2006,Marko Jaric,5280528
2005-2006,Troy Hudson,5253000
2005-2006,Tony Battie,5200000
2005-2006,David Wesley,5075000
2005-2006,Matt Harpring,5020000
2005-2006,Devean George,5000600
2005-2006,Antonio Daniels,5000000
2005-2006,Stromile Swift,5000000
2005-2006,Gerald Wallace,5000000
2005-2006,Udonis Haslem,5000000
2005-2006,Quentin Richardson,6945500
2005-2006,Howard Eisley,6906000
2005-2006,Antoine Walker,6884000
2005-2006,Mike Miller,6871431
2005-2006,Metta World Peace,6842105
2005-2006,Rasho Nesterovic,6720000
2005-2006,Jason Terry,6666667
2005-2006,Jamal Crawford,6480000
2005-2006,Joe Smith,6353200
2005-2006,Ruben Patterson,6353200
2005-2006,Alvin Williams,6300000
2005-2006,Scot Pollard,6274935
2005-2006,Danny Fortson,6207670
2005-2006,Sam Cassell,6187500
2005-2006,Corliss Williamson,6000000
2005-2006,Ricky Davis,5909800
2005-2006,Chauncey Billups,5909800
2005-2006,Juwan Howard,5900400
2005-2006,Michael Olowokandi,5900400
2005-2006,Shareef Abdur-Rahim,5000000
2005-2006,Jerome James,5000000
2005-2006,Brian Skinner,4950000
2005-2006,Brian Cardinal,4950000
2005-2006,Shane Battier,4903000
2005-2006,Donyell Marshall,4799108
2005-2006,Dan Gadzuric,4750000
2005-2006,Brent Barry,4691390
2005-2006,LeBron James,4621800
2005-2006,Brevin Knight,4600000
2005-2006,Morris Peterson,4550000
2005-2006,Marc Jackson,4550000
2005-2006,Mike Dunleavy,4506261
2005-2006,Andrea Bargnani,4501200
2005-2006,Chucky Atkins,4500000
2005-2006,Dwight Howard,4493160
2005-2006,Greg Ostertag,4400000
