Year,Name,player_height,player_weight,gp,net_rating
1996,Otis Thorpe,208.28,111.583632,79.0,6.2
1996,P.J. Brown,210.82,108.86208,80.0,7.4
1996,Patrick Ewing,213.36,108.86208,78.0,6.4
1996,Pervis Ellison,205.74,95.25431999999999,6.0,1.2
1996,Pete Chilcutt,208.28,108.86208,54.0,-16.2
1996,Pooh Richardson,185.42,81.64656,59.0,-5.2
1996,Popeye Jones,203.2,113.398,79.0,-2.8
1996,Priest Lauderdale,223.52,155.582056,35.0,-4.0
1996,Rafael Addison,203.2,109.31567199999999,41.0,-4.0
1996,Randolph Childress,187.96,85.275296,23.0,-0.9
1996,Randy Brown,187.96,86.18248,72.0,10.4
1996,Randy Livingston,193.04,94.800728,64.0,0.3
1996,Rasheed Wallace,210.82,102.0582,62.0,7.8
1996,Ray Allen,195.58,92.98636,82.0,-2.0
1996,Ray Owes,205.74,101.604608,57.0,-8.0
1996,Reggie Geary,187.96,84.821704,39.0,7.7
1996,Reggie Jordan,193.04,88.45044,19.0,4.2
1996,Reggie Miller,200.66,83.91452,81.0,0.9
1996,Reggie Slater,200.66,97.52228,26.0,1.5
1996,Reggie Williams,201.0,86.0,13.0,-12.8
1996,Rex Chapman,193.04,88.45044,65.0,2.7
1996,Rex Walters,193.04,86.18248,59.0,-11.1
1996,Richard Manning,210.82,111.13004,26.0,-6.8
1996,Rick Fox,200.66,112.944408,76.0,-6.9
1996,Rick Mahorn,208.28,117.93392,22.0,-0.1
1996,Ricky Pierce,193.04,97.52228,60.0,-1.6
1996,Rik Smits,223.52,120.20188,52.0,1.4
1996,Robert Horry,208.28,99.79024,54.0,2.7
1996,Robert Pack,187.96,86.18248,54.0,-8.3
1996,Robert Parish,215.9,110.676448,43.0,14.9
1996,Robert Werdann,210.82,113.398,6.0,-14.5
1996,Rod Strickland,190.5,83.91452,82.0,1.7
1996,Rodney Rogers,200.66,115.66596,81.0,-3.5
1996,Ron Harper,198.12,97.975872,76.0,14.0
