,Year,Name,Salary%,Physical Cluster,Reg Performance Cluster,Adv Performance Cluster,PER Cluster
394,2011,James Harden,7.9332230721521615,0,2,2,1
395,2011,James Johnson,4.844610984770174,1,1,0,3
396,2011,James Jones,2.5842464337399216,1,1,1,3
397,2011,Jared Dudley,7.322031562263111,1,2,1,1
398,2011,Jarrett Jack,8.61415477913307,0,2,0,3
399,2011,Jason Kidd,17.436772103921165,0,2,2,3
400,2011,Jason Richardson,9.294673006684583,1,0,1,1
401,2011,Jason Smith,4.307077389566535,1,1,0,0
402,2011,Jason Terry,19.22334780511336,0,0,2,1
403,2011,Jason Thompson,5.170704982427123,1,2,0,3
404,2011,Jeff Teague,2.7219350837295844,0,1,0,3
405,2011,Jermaine O'Neal,10.726690097167666,1,1,0,0
406,2011,Jerryd Bayless,5.241334160292191,0,2,3,3
407,2011,Joakim Noah,20.673971469919373,1,0,0,1
408,2011,Joe Johnson,31.07741196333816,1,3,1,1
409,2011,Johan Petro,5.599200606436495,1,1,0,0
410,2011,John Salmons,13.925642615946527,0,0,1,3
411,2011,John Wall,9.527393012197646,0,0,3,1
412,2011,Jonny Flynn,5.882985321480256,0,1,3,0
413,2011,Jordan Crawford,1.930328716146372,0,2,3,0
414,2011,Jordan Farmar,6.891323823306457,0,2,1,3
415,2011,Jordan Hill,4.919991730411412,1,1,0,3
416,2011,Jose Calderon,18.196509544483494,0,2,3,1
417,2011,Josh Childress,11.19840121287299,0,1,0,3
418,2011,Josh Howard,3.7040865550272213,0,2,0,0
419,2011,Josh McRoberts,5.168492867479843,1,2,0,1
420,2011,Josh Smith,21.363103852250017,1,0,3,1
421,2011,Jrue Holiday,4.608317827854732,0,0,1,1
422,2011,Keith Bogans,2.9770518916683897,0,1,1,0
423,2011,Kenyon Martin,4.307077389566535,1,2,0,3
424,2011,Kevin Durant,26.715305630211557,1,3,2,2
425,2011,Kevin Garnett,36.605065123010135,1,0,0,2
426,2011,Kevin Love,7.941735579904899,1,3,1,2
427,2011,Kevin Martin,19.846736958169664,0,3,2,2
428,2011,Keyon Dooling,3.8701674591689055,0,1,1,3
429,2011,Kirk Hinrich,13.782647646612912,0,2,3,3
430,2011,Kobe Bryant,43.49199400454828,0,3,2,2
431,2011,Kosta Koufos,3.7967610778030463,1,1,0,3
432,2011,Kris Humphries,13.782647646612912,1,2,0,1
433,2011,Kurt Thomas,2.329579284680587,1,1,0,0
434,2011,Kyle Lowry,9.906277996003032,0,0,2,1
435,2011,Kyrylo Fesenko,0.7494314657845772,1,1,0,0
