Year,Team,Notes,Name,Injury Class
2011,Bucks,plantar fasciitis in left foot (DNP),Drew Gooden,DNP
2011,Cavaliers,torn tendon in right ankle (out for season),Anderson Varejao,out for season
2011,Cavaliers,strained lower back (DNP),Anthony Parker,DNP
2011,Raptors,sprained left ankle (DNP),Jerryd Bayless,DNP
2011,Rockets,surgery on left ankle to repair stress fracture (out for season),Yao Ming,out for season
2011,Raptors,back spasms (DNP),Sonny Weems,DNP
2011,Bucks,virus (DNP),Andrew Bogut,DNP
2011,Bucks,recovering from surgery on left foot (DNP),Brandon Jennings,DNP
2011,Bucks,plantar fasciitis in left foot (DNP),Drew Gooden,DNP
2011,Lakers,torn cartilage in right knee (out indefinitely),Matt Barnes,out indefinitely
2011,Nets,bruised right quadriceps (DNP),Devin Harris,DNP
2011,Cavaliers,strained lower back (DNP),Anthony Parker,DNP
2011,Nuggets,strained left knee (DNP),Ty Lawson,DNP
2011,Raptors,back spasms (DNP),Sonny Weems,DNP
2011,Rockets,sore right knee (DNP),Brad Miller,DNP
2011,Cavaliers,torn tendon in right ankle (DNP),Anderson Varejao,DNP
2011,Cavaliers,strained lower back (DNP),Anthony Parker,DNP
2011,Knicks,flu-like symptoms (DNP),Anthony Randolph,DNP
2011,Lakers,surgery on right knee to repair torn lateral meniscus (out indefinitely),Matt Barnes,out indefinitely
2011,Bucks,recovering from surgery on left foot (DNP),Brandon Jennings,DNP
2011,Celtics,sore left knee (DNP),Jermaine O'Neal,DNP
2011,Grizzlies,sore left knee (DNP),Tony Allen,DNP
2011,Nets,strained right hamstring (DNP),Anthony Morrow,DNP
2011,Rockets,sore right knee (DNP),Brad Miller,DNP
2011,Warriors,Achilles tendon injury (DTD),Reggie Williams,DTD
2011,Heat,sprained left ankle (DNP),LeBron James,DNP
2011,Wizards,sprained right shoulder (DNP),Andray Blatche,DNP
2011,Bucks,recovering from surgery on left foot (DNP),Brandon Jennings,DNP
2011,Cavaliers,sprained right ankle (DNP),Christian Eyenga,DNP
2011,Cavaliers,sprained left ankle (DNP),Daniel Gibson,DNP
2011,Celtics,sore left knee (DNP),Jermaine O'Neal,DNP
2011,Celtics,strained right leg (DNP),Kevin Garnett,DNP
2011,Knicks,right hip pointer (DTD),Ronny Turiaf,DTD
2011,Raptors,strained right hamstring (DTD),Leandro Barbosa,DTD
2011,Spurs,sore right knee (DTD),Matt Bonner,DTD
2011,Warriors,strained lower back (DTD),Brandan Wright,DTD
2011,Cavaliers,strained right quadriceps (DNP),Joey Graham,DNP
2011,Cavaliers,sprained left ankle (DNP),Christian Eyenga,DNP
2011,Cavaliers,sprained right ankle (DNP),Daniel Gibson,DNP
2011,Cavaliers,strained right quadriceps (DNP),Joey Graham,DNP
2011,Grizzlies,sore left knee (DNP),Tony Allen,DNP
2011,Nets,strained right hamstring (DNP),Anthony Morrow,DNP
2011,Raptors,sore/sprained left ankle (DNP),Jerryd Bayless,DNP
2011,Raptors,strained right hamstring (DNP),Leandro Barbosa,DNP
2011,Spurs,sore right knee (DNP),Matt Bonner,DNP
2011,Blazers,arthroscopic surgery on both knees (out indefinitely),Brandon Roy,out indefinitely
2011,Bucks,recovering from surgery on left foot (DNP),Brandon Jennings,DNP
2011,Bulls,sprained left ankle (DNP),Carlos Boozer,DNP
2011,Celtics,sore left knee (DNP),Jermaine O'Neal,DNP
2011,Grizzlies,sore left knee (DNP),Tony Allen,DNP
2011,Nets,strained right hamstring (DNP),Anthony Morrow,DNP
2011,Raptors,sore left ankle (DNP),Jerryd Bayless,DNP
2011,Raptors,strained right hamstring (DNP),Leandro Barbosa,DNP
2011,Raptors,sore right knee (DNP),Linas Kleiza,DNP
2011,Rockets,upper respiratory distress / flu (DNP),Patrick Patterson,DNP
2011,Bulls,sprained left ankle (DNP),Carlos Boozer,DNP
2011,Bucks,recovering from surgery on left foot (DNP),Brandon Jennings,DNP
2011,Bucks,sore right hip (DNP),John Salmons,DNP
2011,Celtics,sore left knee (DNP),Jermaine O'Neal,DNP
2011,Grizzlies,sore left knee (DNP),Tony Allen,DNP
2011,Raptors,strained right hamstring (DNP),Leandro Barbosa,DNP
2011,Bulls,sprained left ankle (DNP),Carlos Boozer,DNP
2011,Blazers,arthroscopic surgery on left knee to repair torn meniscus,Marcus Camby,Other
2011,Blazers,recovering from arthroscopic surgery on left knee to repair torn meniscus (DNP),Marcus Camby,DNP
2011,Bucks,sore right hip (DNP),John Salmons,DNP
2011,Celtics,sore left knee (DNP),Jermaine O'Neal,DNP
2011,Celtics,hip injury (DTD),Shaquille O'Neal,DTD
2011,Hornets,right ankle tendinitis / knee tendinitis (CBC) (DNP),Trevor Ariza,DNP
2011,Pistons,sprained left ankle (DTD),Charlie Villanueva,DTD
2011,Raptors,sore right knee (DTD),Joey Dorsey,DTD
2011,Raptors,strained right hamstring (DNP),Leandro Barbosa,DNP
2011,Spurs,sprained right thumb (DNP),George Hill,DNP
2011,Wizards,sprained elbow (DTD),Kirk Hinrich,DTD
2011,Blazers,recovering from arthroscopic surgery on left knee to repair torn meniscus (DNP),Marcus Camby,DNP
2011,Bucks,plantar fasciitis in left foot (DNP),Drew Gooden,DNP
2011,Bucks,strained right hip (DNP),John Salmons,DNP
2011,Cavaliers,strained lower back (DNP),Anthony Parker,DNP
2011,Celtics,sore left knee (DNP),Jermaine O'Neal,DNP
2011,Celtics,sore right knee (DNP),Shaquille O'Neal,DNP
2011,Heat,migraine headache (DNP),Dwyane Wade,DNP
2011,Hornets,right knee tendinitis (DNP),Trevor Ariza,DNP
2011,Magic,foot injury (out indefinitely),Jason Williams,out indefinitely
2011,Raptors,strained right patella tendon (DNP),Joey Dorsey,DNP
2011,Raptors,strained right hamstring (DNP),Leandro Barbosa,DNP
