Year,Team,Notes,Name,Injury Class
2011,Mavericks,stress fracture in fifth metatarsal in right foot (out indefinitely),Dominique Jones,out indefinitely
2011,Pistons,sore groin (DNP),Chris Wilcox,DNP
2011,Pistons,sore groin (DNP),Richard Hamilton,DNP
2011,Raptors,sore left foot (DNP),Alexis Ajinca,DNP
2011,Timberwolves,strained left hip flexor (DNP),Darko Milicic,DNP
2011,Timberwolves,sprained left ankle (DNP),Michael Beasley,DNP
2011,Clippers,sprained right wrist (DNP),Eric Gordon,DNP
2011,Jazz,left knee inflammation (DNP),Francisco Elson,DNP
2011,Magic,sprained left ankle (DNP),Brandon Bass,DNP
2011,Pistons,sore groin (DNP),Richard Hamilton,DNP
2011,Wizards,dislocated right middle finger (DNP),Al Thornton,DNP
2011,Wizards,sprained left ankle (DNP),Yi Jianlian,DNP
2011,Celtics,strained right adductor (DNP),Semih Erden,DNP
2011,Celtics,sore right leg (DNP),Shaquille O'Neal,DNP
2011,Clippers,sprained right wrist (DNP),Eric Gordon,DNP
2011,Jazz,strained left calf (DNP),Raja Bell,DNP
2011,Jazz,sprained right big toe (DNP),Ronnie Price,DNP
2011,Magic,sprained left ankle (DNP),Brandon Bass,DNP
2011,Mavericks,surgery on right foot to repair stress fracture in fifth metatarsal (out indefinitely),Dominique Jones,out indefinitely
2011,Pistons,sore groin (DNP),Richard Hamilton,DNP
2011,Raptors,sore left foot (DNP),Alexis Ajinca,DNP
2011,Spurs,strained left hamstring (DNP),Tiago Splitter,DNP
2011,Timberwolves,strained left hip flexor (DNP),Darko Milicic,DNP
2011,Timberwolves,sprained left ankle (DNP),Michael Beasley,DNP
2011,Bucks,back spasms (DNP),Larry Sanders,DNP
2011,Cavaliers,surgery on right ankle to repair torn tendon (date approximate),Anderson Varejao,Other
2011,Spurs,strained left hamstring (DNP),Tiago Splitter,DNP
2011,Timberwolves,strained left hip flexor (DNP),Darko Milicic,DNP
2011,Celtics,strained right adductor (DNP),Semih Erden,DNP
2011,Celtics,sore right leg (DNP),Shaquille O'Neal,DNP
2011,Clippers,sprained right wrist (DNP),Eric Gordon,DNP
2011,Kings,sore right knee (DTD),Luther Head,DTD
2011,Warriors,back spasms (DTD),Dan Gadzuric,DTD
2011,Clippers,fractured right wrist (DNP),Eric Gordon,DNP
2011,Bobcats,groin injury (DNP),Eduardo Najera,DNP
2011,Heat,surgery on right knee to repair cartilage (out indefinitely),Dexter Pittman,out indefinitely
2011,Jazz,sprained right ankle (DNP),Andrei Kirilenko,DNP
2011,Jazz,strained left calf (DNP),Raja Bell,DNP
2011,Jazz,sprained right big toe (DNP),Ronnie Price,DNP
2011,Kings,plantar fasciitis in right foot (DNP),Tyreke Evans,DNP
2011,Bucks,right eye contusion (DNP),Ersan Ilyasova,DNP
2011,Bucks,sore left knee (DNP),Keyon Dooling,DNP
2011,Celtics,sore right leg (DNP),Shaquille O'Neal,DNP
2011,Clippers,sprained right wrist (DNP),Eric Gordon,DNP
2011,Grizzlies,partially dislocated left shoulder (out indefinitely),Rudy Gay,out indefinitely
2011,Jazz,sprained right ankle (DNP),Andrei Kirilenko,DNP
2011,Jazz,strained left calf (DNP),Raja Bell,DNP
2011,Jazz,sprained right big toe (DNP),Ronnie Price,DNP
2011,Kings,plantar fasciitis in right foot (DNP),Tyreke Evans,DNP
2011,Mavericks,illness (DTD),Jose Barea,DTD
2011,Spurs,strained left hamstring (DNP),Tiago Splitter,DNP
2011,Kings,left calf injury (DNP),Francisco Garcia,DNP
2011,Bobcats,returned to lineup,Eduardo Najera,returned to lineup
2011,Bucks,returned to lineup,Ersan Ilyasova,returned to lineup
2011,Celtics,returned to lineup,Semih Erden,returned to lineup
2011,Blazers,left hand injury (DTD),Sean Marks,DTD
2011,Jazz,sprained right big toe (DNP),Ronnie Price,DNP
2011,Kings,plantar fasciitis in left foot (DNP) (P),Tyreke Evans,DNP
2011,Suns,illness (DTD),Zabian Dowdell,DTD
2011,Blazers,DNP,Gerald Wallace,Other
2011,Bobcats,DNP,Dewayne White,Other
2011,Nuggets,sprained ankle (DTD),Melvin Ely,DTD
2011,Spurs,concussion symptoms (DNP),Gary Neal,DNP
2011,Suns,returned to lineup,Zabian Dowdell,returned to lineup
2011,Timberwolves,sore back (DNP),Martell Webster,DNP
2011,Bobcats,ruptured right Achilles tendon (DNP),DeSagana Diop,DNP
2011,Bobcats,torn meniscus in right knee (DNP),Tyrus Thomas,DNP
2011,Kings,strained left calf (DNP),Francisco Garcia,DNP
2011,Bucks,concussion (DNP),Ersan Ilyasova,DNP
2011,Kings,strained left calf (DNP),Francisco Garcia,DNP
2011,Nets,strained lower back (DNP),Quinton Ross,DNP
2011,Pistons,back injury / illness (P) (DNP),Tayshaun Prince,DNP
2011,Pistons,headache (DNP),Tracy McGrady,DNP
2011,Bobcats,torn meniscus in right knee (DNP),Tyrus Thomas,DNP
2011,Cavaliers,broken left little finger (out indefinitely),Antawn Jamison,out indefinitely
2011,Raptors,flu (DNP),Andrea Bargnani,DNP
2011,Spurs,concussion symptoms (DNP),Gary Neal,DNP
2011,Cavaliers,surgery to repair broken left little finger (out indefinitely),Antawn Jamison,out indefinitely
2011,Celtics,sprained right ankle (DNP),Delonte West,DNP
2011,Hawks,sore right calf (DNP),Kirk Hinrich,DNP
2011,Kings,strained left calf (DNP),Francisco Garcia,DNP
2011,Spurs,strained left calf muscle (out indefinitely),William Parker,out indefinitely
2011,Blazers,illness / flu (DNP),Rudy Fernandez,DNP
2011,Bucks,strained left rib muscle (DNP),Andrew Bogut,DNP
2011,Bucks,flu (DNP),Luc Moute,DNP
2011,Magic,sore left knee (DNP),Gilbert Arenas,DNP
2011,Pistons,sore SI joint (DNP),Tayshaun Prince,DNP
2011,Cavaliers,quadriceps injury (DTD),Daniel Gibson,DTD
2011,Cavaliers,groin injury (DTD),Semih Erden,DTD
2011,Hawks,sprained MCL in right knee (DTD),Josh Smith,DTD
2011,Celtics,patellar tendinitis in left knee (out indefinitely),Glen Davis,out indefinitely
2011,Jazz,cold (DNP),Derrick Favors,DNP
2011,Thunder,arthroscopic surgery on right knee (out indefinitely),Nate Robinson,out indefinitely
2011,Bucks,concussion (DNP),Ersan Ilyasova,DNP
2011,Bucks,stomach virus (DNP),Luc Moute,DNP
2011,Cavaliers,strained right adductor muscle (DNP),Semih Erden,DNP
2011,Celtics,patellar tendinitis in left knee (DNP),Glen Davis,DNP
2011,Hornets,strained abductor muscle (DNP),Trevor Ariza,DNP
2011,Timberwolves,illness (DTD),Sebastian Telfair,DTD
2011,Timberwolves,gastroenteritis / food poisoning (DNP),Wesley Johnson,DNP
2011,Bobcats,strained left hamstring (DNP),Stephen Jackson,DNP
2011,Kings,surgery on left knee to repair torn patella tendon (out for season),Hassan Whiteside,out for season
2011,Kings,sore back (DNP),Omri Casspi,DNP
2011,Timberwolves,flu (DNP),Wesley Johnson,DNP
2011,Bucks,concussion (DNP),Ersan Ilyasova,DNP
2011,Celtics,strained patellar tendon in left knee (DNP),Glen Davis,DNP
2011,Celtics,sprained right calf (DNP),Von Wafer,DNP
2011,Hornets,strained groin (DNP),Trevor Ariza,DNP
2011,Wizards,right knee tendinitis (DNP),Rashard Lewis,DNP
2011,Hornets,concussion (DNP),Chris Paul,DNP
2011,Hornets,strained groin (DNP),Trevor Ariza,DNP
2011,Jazz,sprained left ankle (DNP),Francisco Elson,DNP
2011,Jazz,back spasms (DNP),Kyrylo Fesenko,DNP
2011,Magic,flu (DNP),Chris Duhon,DNP
2011,Suns,dislocated right shoulder (out indefinitely),Channing Frye,out indefinitely
2011,Bucks,concussion (DNP),Ersan Ilyasova,DNP
2011,Cavaliers,right hip pointer (DNP),Luke Harangody,DNP
2011,Wizards,patella tendinitis in right knee (DNP),Cartier Martin,DNP
2011,Bobcats,sore right knee (DNP),Joel Przybilla,DNP
2011,Bobcats,sprained left ankle (DNP),Matt Carroll,DNP
2011,Bucks,concussion (DNP),Ersan Ilyasova,DNP
2011,Celtics,strained patellar tendon in left knee (DNP),Glen Davis,DNP
2011,Celtics,strained right calf (DNP),Von Wafer,DNP
2011,Jazz,back spasms (DNP),Andrei Kirilenko,DNP
2011,Jazz,patellar tendinitis in left knee (DNP),Paul Millsap,DNP
2011,Kings,flu (DNP),Beno Udrih,DNP
2011,Raptors,sore right knee (DNP),Alexis Ajinca,DNP
2011,Celtics,strained patellar tendon in left knee (DNP),Glen Davis,DNP
2011,Celtics,strained right calf (DNP),Von Wafer,DNP
2011,Jazz,patellar tendinitis in left knee (DNP),Paul Millsap,DNP
2011,Kings,flu (DNP),Beno Udrih,DNP
2011,Magic,lower abdominal strain (DNP),Jonathan Redick,DNP
2011,Raptors,sore right knee (DNP),Alexis Ajinca,DNP
2011,Bucks,concussion (DNP),Ersan Ilyasova,DNP
2011,Jazz,patellar tendinitis in left knee (DNP),Paul Millsap,DNP
2011,Kings,flu (DNP),Beno Udrih,DNP
2011,Wizards,patella tendinitis in right knee (DNP),Cartier Martin,DNP
2011,Celtics,strained right calf (DNP),Von Wafer,DNP
2011,Knicks,illness (DTD),Anthony Carter,DTD
2011,Suns,pubic symphysis (DNP),Steve Nash,DNP
2011,Celtics,strained right calf (DNP),Von Wafer,DNP
2011,Jazz,sprained left foot (DNP),Gordon Hayward,DNP
2011,Jazz,patellar tendinitis in left knee (DNP),Paul Millsap,DNP
2011,Rockets,lower abdomen stress (DNP),Terrence Williams,DNP
2011,Suns,pubic symphysis (DNP),Steve Nash,DNP
2011,Wizards,patella tendinitis in right knee (DNP),Cartier Martin,DNP
2011,Bulls,flu (DNP),Joakim Noah,DNP
2011,Mavericks,stiff lower back (DNP),Brendan Haywood,DNP
2011,Rockets,surgery to relieve lower abdomen stress (out indefinteily),Terrence Williams,Other
2011,Wizards,patella tendinitis in right knee (DNP),Cartier Martin,DNP
2011,Wizards,left knee tendinitis (DNP),Josh Howard,DNP
2011,Wizards,bruised left knee (DNP),Nick Young,DNP
2011,Bucks,migraine headache (DNP),Andrew Bogut,DNP
2011,Jazz,patellar tendinitis in left knee (DNP),Paul Millsap,DNP
2011,Magic,lower abdominal strain (DNP),Jonathan Redick,DNP
2011,Mavericks,stiff lower back (DNP),Brendan Haywood,DNP
2011,Rockets,lower abdomen stress (DNP),Terrence Williams,DNP
2011,Bucks,sprained right ankle (DNP),Chris Douglas-Roberts,DNP
2011,Kings,sore right calf (DNP),Luther Head,DNP
2011,Magic,sore left knee (DNP),Gilbert Arenas,DNP
2011,Magic,lower abdominal strain (DNP),Jonathan Redick,DNP
2011,Wizards,strained right shoulder (DNP),Andray Blatche,DNP
2011,Wizards,bruised left knee (DNP),Nick Young,DNP
2011,Blazers,right knee inflammation (DTD),Armon Johnson,DTD
2011,Bobcats,sprained left ankle (DNP),Garrett Temple,DNP
2011,Cavaliers,back spasms (DNP),Baron Davis,DNP
2011,Nuggets,right Achilles tendon injury (DTD),Al Harrington,DTD
2011,Wizards,bruised left knee (DNP),Nick Young,DNP
2011,Cavaliers,back spasms (DNP),Baron Davis,DNP
2011,Heat,sprained right knee (out indefinitely),Mario Chalmers,out indefinitely
2011,Magic,lower abdominal strain (DNP),Jonathan Redick,DNP
2011,Nets,sore right foot (DNP),Damion James,DNP
2011,Spurs,sprained left ankle (out indefinitely),Tim Duncan,out indefinitely
2011,Blazers,sprained right ankle (DNP),Marcus Camby,DNP
2011,Blazers,returned to lineup,Armon Johnson,returned to lineup
2011,Wizards,bruised left knee (DNP),Nick Young,DNP
2011,Cavaliers,back spasms (DNP),Baron Davis,DNP
2011,Heat,sprained right knee (DNP),Mario Chalmers,DNP
2011,Jazz,bruised left knee (DTD),Andrei Kirilenko,DTD
2011,Jazz,sprained left ankle (DNP),Derrick Favors,DNP
2011,Magic,lower abdominal strain (DNP),Jonathan Redick,DNP
2011,Nets,sore right foot (DNP),Damion James,DNP
2011,Pistons,left knee injury (DTD),Ben Wallace,DTD
2011,Rockets,sprained left ankle (DTD),Chase Budinger,DTD
2011,Timberwolves,strained left groin (DTD),Kevin Love,DTD
2011,Wizards,bruised left knee (DNP),Nick Young,DNP
2011,Jazz,nerve damage in left knee (DNP),Andrei Kirilenko,DNP
2011,Bobcats,bruised ribs (DNP),Tyrus Thomas,DNP
2011,Celtics,sprained right ankle (DNP),Troy Murphy,DNP
2011,Grizzlies,surgery to repair partially dislocated left shoulder (out for season),Rudy Gay,out for season
2011,Heat,sprained right knee (DNP),Mario Chalmers,DNP
2011,Magic,lower abdominal strain (DNP),Jonathan Redick,DNP
2011,Magic,back spasms (DNP),Quentin Richardson,DNP
2011,Raptors,sore left ankle (DNP),Amir Johnson,DNP
2011,Raptors,sore right foot (DNP),Reggie Evans,DNP
2011,Bobcats,bruised ribs (DNP),Tyrus Thomas,DNP
2011,Jazz,nerve damage in left knee (DNP),Andrei Kirilenko,DNP
2011,Nets,sore right foot (DNP),Damion James,DNP
2011,Pistons,sore back (DNP),Tracy McGrady,DNP
2011,Raptors,sore right ankle (DNP),Andrea Bargnani,DNP
2011,Celtics,right finger injury (DNP),Rajon Rondo,DNP
2011,Celtics,sprained right ankle (DNP),Troy Murphy,DNP
2011,Timberwolves,hip injury (DNP),Nikola Pekovic,DNP
2011,Wizards,sore right foot (DNP),Trevor Booker,DNP
2011,76ers,illness (DTD),Tony Battie,DTD
2011,Celtics,sprained right ankle (DNP),Troy Murphy,DNP
2011,Jazz,nerve damage in left knee (DNP),Andrei Kirilenko,DNP
2011,Jazz,migraine headache (DNP),Kyrylo Fesenko,DNP
2011,Magic,lower abdominal strain (DNP),Jonathan Redick,DNP
2011,Magic,sprained left knee (DNP),Jameer Nelson,DNP
2011,Spurs,bruised left patella (DNP),William Parker,DNP
2011,Spurs,bruised lower back (DNP),Antonio McDyess,DNP
2011,Wizards,bruised left knee (DNP),Nick Young,DNP
2011,Wizards,sore right foot (DNP),Trevor Booker,DNP
2011,Cavaliers,wrist injury (DTD),Samardo Samuels,DTD
2011,Heat,bruised left knee (DNP),Mike Miller,DNP
2011,Nets,sore right foot (DNP),Damion James,DNP
2011,Thunder,sprained left ankle (DNP),Nick Collison,DNP
2011,Bobcats,sore left knee (DNP),Tyrus Thomas,DNP
2011,Bucks,back spasms (DNP),Larry Sanders,DNP
2011,Cavaliers,sprained right wrist (DNP),Samardo Samuels,DNP
2011,Heat,bruised left knee (DNP),Mike Miller,DNP
2011,Kings,surgery on back (out for season),Marquis Daniels,out for season
2011,Magic,sprained right thumb (DNP),Chris Duhon,DNP
2011,Magic,lower abdominal strain (DNP),Jonathan Redick,DNP
2011,Nets,sore left knee (DNP),Ben Uzoh,DNP
2011,Wizards,bruised left knee (DNP),Nick Young,DNP
2011,Bobcats,surgery on knee to remove wires that were inserted to help heal torn patella tendon (out for season) (date approximate),Joel Przybilla,out for season
2011,76ers,returned to lineup,Tony Battie,returned to lineup
2011,Bobcats,strained left hamstring (DNP),Stephen Jackson,DNP
2011,Bobcats,sore left knee (DNP),Tyrus Thomas,DNP
2011,Cavaliers,sprained right wrist (DNP),Samardo Samuels,DNP
2011,Jazz,sprained/bruised right foot (DNP),Raja Bell,DNP
2011,Jazz,bruised left shin (DNP),Ronnie Price,DNP
2011,Magic,sprained right thumb (DNP),Chris Duhon,DNP
2011,Magic,flu (DNP),Gilbert Arenas,DNP
2011,Magic,lower abdominal strain (DNP),Jonathan Redick,DNP
2011,Suns,flu-like symptoms (DNP),Steve Nash,DNP
2011,Wizards,bruised left knee (DNP),Nick Young,DNP
2011,Bucks,bruised right chest/ribs (DNP),Carlos Delfino,DNP
2011,Clippers,sore knee (DNP),Ryan Gomes,DNP
2011,Raptors,sore right ankle (DNP),Andrea Bargnani,DNP
2011,Timberwolves,sprained left ankle (DNP),Darko Milicic,DNP
2011,Timberwolves,strained left groin (DNP),Kevin Love,DNP
2011,Bobcats,lower back spasms (DNP),Eduardo Najera,DNP
2011,Bobcats,strained left hamstring (DNP),Stephen Jackson,DNP
2011,Bobcats,sore left knee (DNP),Tyrus Thomas,DNP
2011,Jazz,sprained/bruised right foot (DNP),Raja Bell,DNP
2011,Jazz,bruised left shin (DNP),Ronnie Price,DNP
2011,Magic,sprained right thumb (DNP),Chris Duhon,DNP
2011,Magic,flu (DNP),Gilbert Arenas,DNP
2011,Magic,lower abdominal strain (DNP),Jonathan Redick,DNP
2011,Nuggets,hamstring injury (DTD),Arron Afflalo,DTD
2011,Suns,flu (DNP),Steve Nash,DNP
2011,Wizards,strained left patella tendon (DNP),Hamady Ndiaye,DNP
2011,Wizards,bruised left knee (DNP),Nick Young,DNP
2011,Bobcats,lower back spasms (DNP),Eduardo Najera,DNP
2011,Bobcats,strained left hamstring (DNP),Stephen Jackson,DNP
2011,Bobcats,sore left knee (DNP),Tyrus Thomas,DNP
2011,Cavaliers,strained left groin (DNP),Samardo Samuels,DNP
2011,Jazz,fractured right thumb (DNP),Kyrylo Fesenko,DNP
2011,Jazz,sprained/bruised right foot (DNP),Raja Bell,DNP
2011,Jazz,bruised left shin (DNP),Ronnie Price,DNP
2011,Magic,lower abdominal strain (DNP),Jonathan Redick,DNP
2011,Nets,left knee tendinitis (DTD),Anthony Morrow,DTD
2011,Timberwolves,strained left groin (DNP),Kevin Love,DNP
2011,Wizards,stress fracture in left foot (DTD),Cartier Martin,DTD
2011,Wizards,strained left patella tendon (DNP),Hamady Ndiaye,DNP
2011,Wizards,bruised left knee (DNP),Nick Young,DNP
2011,Bobcats,lower back spasms (DNP),Eduardo Najera,DNP
2011,Bobcats,strained left hamstring (DNP),Stephen Jackson,DNP
2011,Bobcats,sore left knee (DNP),Tyrus Thomas,DNP
2011,Magic,lower abdominal strain (DNP),Jonathan Redick,DNP
2011,Magic,left knee tendinitis (DNP),Jason Richardson,DNP
2011,Mavericks,rest (DNP),Jason Kidd,DNP
2011,Nets,left knee tendinitis (DNP),Anthony Morrow,DNP
2011,Nets,sore right foot (DNP),Damion James,DNP
2011,Nuggets,sprained left knee and ankle (DNP),Timofey Mozgov,DNP
2011,Raptors,sore left ankle (DNP),Amir Johnson,DNP
2011,Wizards,strained left patella tendon (DNP),Hamady Ndiaye,DNP
2011,Wizards,bruised left knee (DNP),Nick Young,DNP
2011,Blazers,strained/sore neck (DNP),Marcus Camby,DNP
2011,Jazz,fractured right thumb (DNP),Kyrylo Fesenko,DNP
2011,Jazz,strained left calf (DNP),Ronnie Price,DNP
2011,Warriors,surgery on right wrist to remove bone spur (out for season),Acie Law,out for season
2011,Blazers,strained/sore neck (DNP),Marcus Camby,DNP
2011,Bobcats,lower back spasms (DNP),Eduardo Najera,DNP
2011,Bobcats,strained left hamstring (DNP),Stephen Jackson,DNP
2011,Bobcats,sore left knee (DNP),Tyrus Thomas,DNP
2011,Cavaliers,strained left groin (DNP),Samardo Samuels,DNP
2011,Clippers,sprained right knee (DNP),Chris Kaman,DNP
2011,Knicks,surgery on knee (date approximate),Andy Rautins,Other
2011,Nets,left knee tendinitis (DNP),Anthony Morrow,DNP
2011,Nuggets,sprained left knee and ankle (DNP),Timofey Mozgov,DNP
2011,Pistons,strained right knee (DNP),Will Bynum,DNP
2011,Raptors,sore/strained left hamstring (DNP),Jose Calderon,DNP
2011,Suns,strained right hamstring (DNP),Steve Nash,DNP
2011,Wizards,strained patella tendon nin left knee (DNP),Hamady Ndiaye,DNP
2011,Wizards,bruised left knee (DNP),Nick Young,DNP
2011,Bucks,separated left shoulder (DNP),Jon Brockman,DNP
2011,Clippers,sprained right knee (DNP),Chris Kaman,DNP
2011,Jazz,fractured right thumb (DNP),Kyrylo Fesenko,DNP
2011,Jazz,strained left calf (DNP),Ronnie Price,DNP
2011,Nuggets,sprained left knee and ankle (DNP),Timofey Mozgov,DNP
2011,Nuggets,sore left ankle (DNP),Wilson Chandler,DNP
2011,Rockets,sore left foot / knee (CBC) (DNP),Kyle Lowry,DNP
2011,Rockets,sore left knee (DNP),Luis Scola,DNP
2011,Timberwolves,sprained left ankle (DNP),Darko Milicic,DNP
2011,Wizards,strained patella tendon nin left knee (DNP),Hamady Ndiaye,DNP
2011,Wizards,bruised left knee (DNP),Nick Young,DNP
2011,Bobcats,lower back spasms (DNP),Eduardo Najera,DNP
2011,Bobcats,strained left hamstring (DNP),Stephen Jackson,DNP
2011,Bobcats,sore left knee (DNP),Tyrus Thomas,DNP
2011,Magic,lower abdominal strain (DNP),Jonathan Redick,DNP
2011,Nets,left knee tendinitis (DNP),Anthony Morrow,DNP
2011,Nets,sore right foot (DNP),Damion James,DNP
2011,Pistons,ill (DNP),DaJuan Summers,DNP
2011,Pistons,strained right knee (DNP),Will Bynum,DNP
2011,Raptors,sore left ankle (DNP),Amir Johnson,DNP
2011,Raptors,sore/strained left hamstring (DNP),Jose Calderon,DNP
2011,Raptors,sore right knee (DTD),Sonny Weems,DTD
2011,Bobcats,lower back spasms (DNP),Eduardo Najera,DNP
2011,Bobcats,strained left hamstring (DNP),Stephen Jackson,DNP
2011,Bobcats,sore left knee (DNP),Tyrus Thomas,DNP
2011,Cavaliers,back spasms (DNP),Anthony Parker,DNP
2011,Celtics,rest (DNP),Paul Pierce,DNP
2011,Celtics,rest (DNP),Ray Allen,DNP
2011,Jazz,fractured right thumb (DNP),Kyrylo Fesenko,DNP
2011,Jazz,strained left calf (DNP),Ronnie Price,DNP
2011,Kings,sprained left ankle (DNP),Tyreke Evans,DNP
2011,Magic,sore left knee (DNP),Gilbert Arenas,DNP
2011,Magic,lower abdominal strain (DNP),Jonathan Redick,DNP
2011,Nets,left knee tendinitis (DNP),Anthony Morrow,DNP
2011,Nets,sore right foot (DNP),Damion James,DNP
2011,Nets,surgery on right wrist to remove bone fragments and scar tissue (out for season),Deron Williams,out for season
2011,Nets,separated left shoulder (DNP),Mario West,DNP
